Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region"
"No high school diploma","37406","22162","15244"
"High school diploma","159733","87586","72147"
"Some college","295448","157712","137736"
"Associate degree","40791","20307","20484"
"Bachelor's degree","142156","64202","77954"
"Master's degree","13321","6493","6828"
"Professional degree","659","228","431"
"Doctorate","968","422","546"
" -> Total -> Total West Region -> Total Asian alone -> Total 25-34","1337071","659000","678071"
"No high school diploma","45790","23140","22650"
"High school diploma","146463","84381","62082"
"Some college","185671","95715","89956"
"Associate degree","85878","40078","45800"
"Bachelor's degree","532669","251829","280840"
"Master's degree","254917","121218","133699"
"Professional degree","42116","17936","24180"
"Doctorate","43567","24703","18864"
" -> Total -> Total West Region -> Total Asian alone -> Total 35-44","1258274","580163","678111"
"No high school diploma","64907","31195","33712"
"High school diploma","132422","64397","68025"
"Some college","160653","79479","81174"
"Associate degree","89632","40188","49444"
"Bachelor's degree","455691","198136","257555"
"Master's degree","246024","114179","131845"
"Professional degree","51850","22963","28887"
"Doctorate","57095","29626","27469"
" -> Total -> Total West Region -> Total Asian alone -> Total 45-54","1152933","529894","623039"
"No high school diploma","116160","50857","65303"
"High school diploma","168885","77011","91874"
"Some college","157293","75284","82009"
"Associate degree","96813","37685","59128"
"Bachelor's degree","368264","161891","206373"
"Master's degree","162189","81496","80693"
"Professional degree","43911","23263","20648"
"Doctorate","39418","22407","17011"
" -> Total -> Total West Region -> Total Asian alone -> Total 55-64","1026592","456915","569677"
"No high school diploma","142439","59225","83214"
"High school diploma","188575","78281","110294"
"Some college","158821","73177","85644"
"Associate degree","96867","42840","54027"
"Bachelor's degree","287596","118731","168865"
"Master's degree","95223","51510","43713"
"Professional degree","31404","15612","15792"
"Doctorate","25667","17539","8128"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone","457186","221842","235344"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 65+","47347","19956","27391"
"No high school diploma","7096","2480","4616"
"High school diploma","18288","5904","12384"
"Some college","11487","6866","4621"
"Associate degree","2805","1428","1377"
"Bachelor's degree","4368","1845","2523"
"Master's degree","2207","793","1414"
"Professional degree","483","266","217"
"Doctorate","613","374","239"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total Under 18","109696","54308","55388"
"No high school diploma","108951","53849","55102"
"High school diploma","680","459","221"
"Some college","65","0","65"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 18-24","47796","25278","22518"
"No high school diploma","5920","2902","3018"
"High school diploma","20724","12723","8001"
"Some college","15360","6090","9270"
"Associate degree","813","626","187"
"Bachelor's degree","3798","2021","1777"
"Master's degree","1181","916","265"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 25-34","76968","38130","38838"
"No high school diploma","7170","2615","4555"
"High school diploma","29977","17419","12558"
"Some college","19892","9683","10209"
"Associate degree","7847","2825","5022"
"Bachelor's degree","9835","4884","4951"
"Master's degree","2103","704","1399"
"Professional degree","108","0","108"
"Doctorate","36","0","36"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 35-44","70557","35856","34701"
"No high school diploma","7599","3198","4401"
"High school diploma","24682","14236","10446"
"Some college","13539","7589","5950"
"Associate degree","10652","4108","6544"
"Bachelor's degree","10236","5013","5223"
"Master's degree","3102","1420","1682"
"Professional degree","394","173","221"
"Doctorate","353","119","234"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 45-54","54250","24742","29508"
"No high school diploma","6609","2479","4130"
"High school diploma","21310","11304","10006"
"Some college","11659","4767","6892"
"Associate degree","6250","1706","4544"
"Bachelor's degree","5588","3378","2210"
"Master's degree","2501","1040","1461"
"Professional degree","37","0","37"
"Doctorate","296","68","228"
" -> Total -> Total West Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 55-64","50572","23572","27000"
"No high school diploma","7182","4314","2868"
"High school diploma","17973","8526","9447"
"Some college","13437","5561","7876"
"Associate degree","5121","2030","3091"
"Bachelor's degree","4605","1771","2834"
"Master's degree","1883","1096","787"
"Professional degree","119","74","45"
"Doctorate","252","200","52"
" -> Total -> Total West Region -> Total Some other race alone","7253467","3707176","3546291"
" -> Total -> Total West Region -> Total Some other race alone -> Total 65+","472781","211246","261535"
"No high school diploma","264145","116538","147607"
"High school diploma","102826","45977","56849"
"Some college","55360","25935","29425"
"Associate degree","16663","6843","9820"
"Bachelor's degree","22051","9096","12955"
"Master's degree","7593","3971","3622"
"Professional degree","2581","1993","588"
"Doctorate","1562","893","669"
" -> Total -> Total West Region -> Total Some other race alone -> Total Under 18","1995950","1017445","978505"
"No high school diploma","1984105","1012286","971819"
"High school diploma","9530","4639","4891"
"Some college","2315","520","1795"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Some other race alone -> Total 18-24","883979","453414","430565"
"No high school diploma","127395","76195","51200"
"High school diploma","331055","188140","142915"
"Some college","339038","156420","182618"
"Associate degree","41347","17181","24166"
"Bachelor's degree","44156","15242","28914"
"Master's degree","826","236","590"
"Professional degree","101","0","101"
"Doctorate","61","0","61"
" -> Total -> Total West Region -> Total Some other race alone -> Total 25-34","1253598","659876","593722"
"No high school diploma","248659","150528","98131"
"High school diploma","404263","227984","176279"
"Some college","306048","150355","155693"
"Associate degree","89803","44306","45497"
"Bachelor's degree","171025","73846","97179"
"Master's degree","25732","9158","16574"
"Professional degree","5026","2270","2756"
"Doctorate","3042","1429","1613"
" -> Total -> Total West Region -> Total Some other race alone -> Total 35-44","1096730","577074","519656"
"No high school diploma","398442","215675","182767"
"High school diploma","314906","170670","144236"
"Some college","186610","96716","89894"
"Associate degree","63712","29354","34358"
"Bachelor's degree","95254","48934","46320"
"Master's degree","28480","11934","16546"
"Professional degree","5229","2080","3149"
"Doctorate","4097","1711","2386"
" -> Total -> Total West Region -> Total Some other race alone -> Total 45-54","922196","470485","451711"
"No high school diploma","406614","210829","195785"
"High school diploma","254002","135717","118285"
"Some college","133448","65572","67876"
"Associate degree","44425","21249","23176"
"Bachelor's degree","60457","27156","33301"
"Master's degree","17100","6856","10244"
"Professional degree","3328","1788","1540"
"Doctorate","2822","1318","1504"
" -> Total -> Total West Region -> Total Some other race alone -> Total 55-64","628233","317636","310597"
"No high school diploma","291979","148173","143806"
"High school diploma","163606","85871","77735"
"Some college","91136","45041","46095"
"Associate degree","27630","13614","14016"
"Bachelor's degree","37852","16949","20903"
"Master's degree","10334","4560","5774"
"Professional degree","3577","2093","1484"
"Doctorate","2119","1335","784"
" -> Total -> Total West Region -> Total Two or More Races","3957498","2004761","1952737"
" -> Total -> Total West Region -> Total Two or More Races -> Total 65+","222553","99387","123166"
"No high school diploma","34523","14125","20398"
"High school diploma","55243","23335","31908"
"Some college","58089","26524","31565"
"Associate degree","19194","8355","10839"
"Bachelor's degree","31936","14742","17194"
"Master's degree","15868","7192","8676"
"Professional degree","3978","2736","1242"
"Doctorate","3722","2378","1344"
" -> Total -> Total West Region -> Total Two or More Races -> Total Under 18","1651316","845598","805718"
"No high school diploma","1644293","842549","801744"
"High school diploma","5158","2411","2747"
"Some college","1865","638","1227"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Two or More Races -> Total 18-24","452710","226206","226504"
"No high school diploma","54449","29777","24672"
"High school diploma","151934","85807","66127"
"Some college","174110","82545","91565"
"Associate degree","23752","10465","13287"
"Bachelor's degree","45873","16754","29119"
"Master's degree","2532","858","1674"
"Professional degree","60","0","60"
"Doctorate","0","0","0"
" -> Total -> Total West Region -> Total Two or More Races -> Total 25-34","621356","320073","301283"
"No high school diploma","43664","24508","19156"
"High school diploma","131442","73538","57904"
"Some college","160574","86309","74265"
"Associate degree","59732","30083","29649"
"Bachelor's degree","168497","82343","86154"
"Master's degree","42946","18139","24807"
"Professional degree","9420","2443","6977"
"Doctorate","5081","2710","2371"
" -> Total -> Total West Region -> Total Two or More Races -> Total 35-44","442487","226754","215733"
"No high school diploma","36102","20485","15617"
"High school diploma","89048","51826","37222"
"Some college","105120","57368","47752"
"Associate degree","43475","22076","21399"
"Bachelor's degree","106095","49282","56813"
"Master's degree","43258","18202","25056"
"Professional degree","11005","4575","6430"
"Doctorate","8384","2940","5444"
" -> Total -> Total West Region -> Total Two or More Races -> Total 45-54","314844","161152","153692"
"No high school diploma","33054","18774","14280"
"High school diploma","62876","34941","27935"
"Some college","83021","42129","40892"
"Associate degree","32588","14693","17895"
"Bachelor's degree","66363","32605","33758"
"Master's degree","26474","12549","13925"
"Professional degree","5876","2738","3138"
"Doctorate","4592","2723","1869"
" -> Total -> Total West Region -> Total Two or More Races -> Total 55-64","252232","125591","126641"
"No high school diploma","29886","13612","16274"
"High school diploma","57218","30809","26409"
"Some college","69734","36031","33703"
"Associate degree","28853","13140","15713"
"Bachelor's degree","41921","19980","21941"
"Master's degree","16507","7811","8696"
"Professional degree","4896","2472","2424"
"Doctorate","3217","1736","1481"
