Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region"
"High school diploma","29485","12092","17393"
"Some college","20928","9616","11312"
"Associate degree","7030","3351","3679"
"Bachelor's degree","19398","7645","11753"
"Master's degree","8222","3557","4665"
"Professional degree","2166","1332","834"
"Doctorate","1515","1232","283"
" -> Total -> Total Midwest Region","68329004","33686364","34642640"
" -> Total -> Total Midwest Region -> Total White alone","54855122","27132702","27722420"
" -> Total -> Total Midwest Region -> Total White alone -> Total 65+","10278460","4623967","5654493"
"No high school diploma","1011148","446667","564481"
"High school diploma","3831006","1557772","2273234"
"Some college","2090772","946871","1143901"
"Associate degree","665270","282064","383206"
"Bachelor's degree","1509454","769321","740133"
"Master's degree","837284","387683","449601"
"Professional degree","199123","143844","55279"
"Doctorate","134403","89745","44658"
" -> Total -> Total Midwest Region -> Total White alone -> Total Under 18","11392539","5850475","5542064"
"No high school diploma","11351290","5831950","5519340"
"High school diploma","30823","13439","17384"
"Some college","10222","4901","5321"
"Associate degree","204","185","19"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total White alone -> Total 18-24","4848929","2475650","2373279"
"No high school diploma","529271","298715","230556"
"High school diploma","1539034","871443","667591"
"Some college","1856081","903105","952976"
"Associate degree","295711","144000","151711"
"Bachelor's degree","590339","244147","346192"
"Master's degree","28849","11679","17170"
"Professional degree","6047","1972","4075"
"Doctorate","3597","589","3008"
" -> Total -> Total Midwest Region -> Total White alone -> Total 25-34","6947429","3535517","3411912"
"No high school diploma","396176","233151","163025"
"High school diploma","1634341","978181","656160"
"Some college","1473012","769063","703949"
"Associate degree","729410","339941","389469"
"Bachelor's degree","1976922","935442","1041480"
"Master's degree","535538","191109","344429"
"Professional degree","129978","57771","72207"
"Doctorate","72052","30859","41193"
" -> Total -> Total Midwest Region -> Total White alone -> Total 35-44","6690521","3371076","3319445"
"No high school diploma","470705","265435","205270"
"High school diploma","1539346","934151","605195"
"Some college","1322943","674665","648278"
"Associate degree","766297","341371","424926"
"Bachelor's degree","1628872","756268","872604"
"Master's degree","726727","286909","439818"
"Professional degree","137006","66784","70222"
"Doctorate","98625","45493","53132"
" -> Total -> Total Midwest Region -> Total White alone -> Total 45-54","6789878","3394463","3395415"
"No high school diploma","450891","257543","193348"
"High school diploma","1828861","1022754","806107"
"Some college","1374592","697316","677276"
"Associate degree","756756","326146","430610"
"Bachelor's degree","1540098","716043","824055"
"Master's degree","640940","266197","374743"
"Professional degree","117632","65725","51907"
"Doctorate","80108","42739","37369"
" -> Total -> Total Midwest Region -> Total White alone -> Total 55-64","7907366","3881554","4025812"
"No high school diploma","556332","313896","242436"
"High school diploma","2636096","1352573","1283523"
"Some college","1674166","801813","872353"
"Associate degree","821806","337331","484475"
"Bachelor's degree","1406851","675047","731804"
"Master's degree","584903","259381","325522"
"Professional degree","147790","92294","55496"
"Doctorate","79422","49219","30203"
" -> Total -> Total Midwest Region -> Total Black or African American alone","7171818","3438858","3732960"
" -> Total -> Total Midwest Region -> Total Black or African American alone -> Total 65+","858361","342919","515442"
"No high school diploma","168280","68852","99428"
"High school diploma","290915","118153","172762"
"Some college","198225","77940","120285"
"Associate degree","61221","22734","38487"
"Bachelor's degree","69286","28310","40976"
"Master's degree","52957","17311","35646"
"Professional degree","8978","4413","4565"
"Doctorate","8499","5206","3293"
" -> Total -> Total Midwest Region -> Total Black or African American alone -> Total Under 18","1858421","944057","914364"
"No high school diploma","1848369","938503","909866"
"High school diploma","7779","4929","2850"
"Some college","2273","625","1648"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Black or African American alone -> Total 18-24","762102","389039","373063"
"No high school diploma","113676","65531","48145"
"High school diploma","291839","153162","138677"
"Some college","284388","140760","143628"
"Associate degree","26604","10899","15705"
"Bachelor's degree","42043","16930","25113"
"Master's degree","3069","1621","1448"
"Professional degree","347","0","347"
"Doctorate","136","136","0"
" -> Total -> Total Midwest Region -> Total Black or African American alone -> Total 25-34","1114144","544553","569591"
"No high school diploma","117324","68675","48649"
"High school diploma","376645","207085","169560"
"Some college","318372","143289","175083"
"Associate degree","89954","36617","53337"
"Bachelor's degree","150166","65964","84202"
"Master's degree","49369","17697","31672"
"Professional degree","9384","3521","5863"
"Doctorate","2930","1705","1225"
